DEMO,locationnameshort17181,count_
OVERBROOK H.S.,RANDOLPH H.S.,1
SAYRE H.S.,RANDOLPH H.S.,2
STRAWBERRY MANS,RANDOLPH H.S.,2
KING H.S.,ROBESON H.S.,1
SAYRE H.S.,ROBESON H.S.,1
WEST PHILA H.S.,ROBESON H.S.,2
ASPIRA OLNEY,ROXBOROUGH H.S.,3
BARTRAM H.S.,ROXBOROUGH H.S.,1
FRANKFORD H.S.,ROXBOROUGH H.S.,1
FRANKLIN H.S.,ROXBOROUGH H.S.,1
KING H.S.,ROXBOROUGH H.S.,7
MASTERY @ GRATZ,ROXBOROUGH H.S.,1
OVERBROOK H.S.,ROXBOROUGH H.S.,1
ROXBOROUGH H.S.,ROXBOROUGH H.S.,2
STRAWBERRY MANS,ROXBOROUGH H.S.,2
ASPIRA OLNEY,SANKOFA FREEDOM,1
EDISON H.S.,SANKOFA FREEDOM,1
KING H.S.,SANKOFA FREEDOM,1
LINCOLN H.S.,SANKOFA FREEDOM,1
STRAWBERRY MANS,SANKOFA FREEDOM,1
FELS H.S.,SAYRE H.S.,2
KING H.S.,SAYRE H.S.,1
OVERBROOK H.S.,SAYRE H.S.,2
SAYRE H.S.,SAYRE H.S.,5
SOUTH PHILA HS,SAYRE H.S.,1
FELS H.S.,SLA @ BEEBER,1
KING H.S.,SLA @ BEEBER,1
FELS H.S.,SOUTH PHILA EOP,2
BARTRAM H.S.,SOUTH PHILA HS,1
SOUTH PHILA HS,SOUTH PHILA HS,1
FRANKFORD H.S.,STRAWBERRY MANS,1
KING H.S.,STRAWBERRY MANS,1
STRAWBERRY MANS,STRAWBERRY MANS,2
ASPIRA OLNEY,TECH FREIRE,3
BARTRAM H.S.,TECH FREIRE,1
KING H.S.,TECH FREIRE,4
SAYRE H.S.,TECH FREIRE,2
STRAWBERRY MANS,TECH FREIRE,1
BARTRAM H.S.,THE LINC,1
ASPIRA OLNEY,THE U SCHOOL,1
FELS H.S.,THE U SCHOOL,1
FRANKLIN H.S.,THE U SCHOOL,1
KING H.S.,THE U SCHOOL,3
MASTERY @ GRATZ,THE U SCHOOL,3
KING H.S.,UNIVR.AUDENRIED,1
UNIVR.AUDENRIED,UNIVR.AUDENRIED,1
ASPIRA OLNEY,UNKNOWN,7
BARTRAM H.S.,UNKNOWN,6
FELS H.S.,UNKNOWN,10
FELS H.S.,UNKNOWN,1
FRANKFORD H.S.,UNKNOWN,2
FRANKLIN H.S.,UNKNOWN,2
KENSINGTON H.S.,UNKNOWN,1
KING H.S.,UNKNOWN,27
LINCOLN H.S.,UNKNOWN,3
LINCOLN H.S.,UNKNOWN,1
MASTERY @ GRATZ,UNKNOWN,8
OVERBROOK H.S.,UNKNOWN,4
SAYRE H.S.,UNKNOWN,1
SOUTH PHILA HS,UNKNOWN,1
STRAWBERRY MANS,UNKNOWN,4
UNIVR.AUDENRIED,UNKNOWN,2
UNIVR.AUDENRIED,UNKNOWN,1
WEST PHILA H.S.,UNKNOWN,1
MASTERY @ GRATZ,VISIONQUEST LTD,1
BARTRAM H.S.,WASHINGTON H.S.,1
FELS H.S.,WASHINGTON H.S.,1
FRANKFORD H.S.,WASHINGTON H.S.,1
LINCOLN H.S.,WASHINGTON H.S.,1
BARTRAM H.S.,WEST PHILA H.S.,1
KING H.S.,WEST PHILA H.S.,1
WEST PHILA H.S.,WEST PHILA H.S.,2
OVERBROOK H.S.,YES PHILLY,2
